Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Ferreiros,PE,60.78,92.52,15955.00,10744.16,72.03,67.82,42.50,74.37,68.89,93.02,51.83,75.87,69.91,60.59,64.89,32.55,49.47,63.67,24.30,92.16,592.25,151.84,26.93,3.16,71.86,53.67,80.78,42.02,81.94,92.91,90.39,98.53,52.63,5.23,26.37,6.51,0.96,0.00,26.74,7.32,4.23,4.64,99.46,24.00,31.31,95.54,81.11,72.24,197.02,340.40,25.46,2.63,1.47,0.00,12.16,5.19,47.29,8.00,0.00,511.91,669.17,75.00,101.07,3.00,17.84,0.00,0.28,8.16,0.22,0.85,,127.43,56.13,29.32,44.07,482.01
Tabira,PE,60.77,388.46,29180.00,12276.32,74.50,61.74,46.06,75.48,77.32,93.52,51.67,80.71,60.89,53.73,51.61,31.96,55.79,75.31,21.18,89.75,646.83,165.95,15.65,3.66,74.91,80.40,95.06,46.82,76.84,97.67,98.65,93.42,49.18,5.45,27.09,8.31,0.06,0.28,15.98,7.56,5.17,4.16,84.36,11.56,18.86,94.67,79.29,71.19,244.40,467.16,20.79,6.94,4.32,5.83,46.40,1.88,54.45,9.00,0.00,1312.07,2255.89,45.91,69.40,5.00,15.97,0.36,0.28,4.44,0.91,0.61,,34.04,30.91,19.11,24.40,520.72
Vitória de Santo Antão,PE,60.67,373.30,144243.00,42261.96,69.08,67.37,45.56,72.43,74.26,92.32,37.31,76.63,76.22,50.70,65.92,46.55,51.62,49.89,34.19,69.59,1020.77,211.67,10.47,2.35,74.00,86.50,77.73,39.39,78.19,94.90,93.52,94.75,99.86,6.69,46.01,8.41,1.38,1.42,21.84,5.12,4.13,4.14,95.93,34.07,56.06,96.19,80.44,71.07,274.20,521.21,20.62,5.46,2.00,0.55,10.06,4.30,43.14,7.00,8.00,487.77,1253.82,57.20,96.61,4.00,15.11,0.91,0.28,19.58,0.11,0.82,10.75,597.51,94.04,46.76,52.25,536.23
Cupira,PE,60.65,95.15,24343.00,14616.48,74.57,65.79,41.59,75.42,87.13,96.19,39.52,78.98,73.39,48.03,62.75,20.06,56.32,65.57,24.40,93.32,783.69,206.02,10.10,3.71,85.23,88.36,98.08,26.62,86.75,97.50,95.08,99.26,106.09,3.15,47.92,14.03,0.26,1.20,20.80,7.58,5.00,3.62,99.27,29.95,46.69,93.42,73.37,70.80,309.96,489.27,23.76,8.25,2.58,0.41,23.54,5.80,46.75,4.00,0.00,1479.19,2194.50,71.53,100.32,4.00,14.77,0.78,0.27,3.01,0.55,0.64,,125.40,70.55,26.34,34.42,515.64
Timbaúba,PE,60.62,287.68,47312.00,19133.94,71.43,65.60,44.84,77.30,73.79,93.71,40.90,81.07,77.13,47.13,57.06,32.80,58.84,59.42,28.30,89.21,699.91,175.51,11.48,3.09,75.65,53.58,95.58,46.00,88.00,92.27,89.74,99.08,99.85,3.92,41.61,8.64,0.24,0.88,17.42,4.62,4.80,2.96,97.23,40.54,52.92,96.23,67.55,71.14,299.10,510.43,29.42,6.98,2.27,0.63,30.39,4.77,55.75,9.00,0.00,766.31,1601.58,64.41,97.50,4.00,15.95,2.12,0.27,8.95,0.46,0.58,,221.02,175.84,31.65,38.46,539.50
Tacaimbó,PE,60.61,227.60,14330.00,15474.46,71.40,60.42,50.00,80.46,63.91,91.60,49.64,71.89,58.80,55.02,55.97,36.77,57.15,81.35,24.72,92.50,567.08,113.55,15.24,3.14,50.31,53.59,75.15,22.63,55.41,97.71,95.20,97.87,71.21,2.95,39.64,26.87,0.78,0.10,33.74,8.92,4.02,9.56,73.01,31.06,32.59,78.55,73.16,69.86,265.62,318.90,20.94,9.88,6.33,0.00,25.31,2.78,51.36,6.00,5.00,773.72,1623.88,59.82,90.02,3.00,17.89,0.42,0.30,2.62,0.67,0.85,,2.95,41.67,25.50,42.99,500.84
Barreiros,PE,60.59,233.43,42083.00,15337.24,69.32,62.34,50.09,68.77,76.20,91.76,40.57,75.48,71.89,44.07,57.91,43.12,52.00,70.67,34.58,81.59,894.47,252.65,17.37,3.65,82.36,70.27,91.41,51.60,79.80,86.11,93.87,98.55,91.86,3.65,43.10,11.36,0.54,1.20,23.74,6.76,3.94,5.86,95.37,17.73,50.53,96.23,63.72,68.82,325.65,592.10,24.77,3.31,2.11,1.66,12.54,2.93,56.87,7.00,7.00,571.36,1490.94,67.17,96.86,2.00,21.43,0.22,0.28,2.39,0.15,0.85,,16.43,44.01,51.12,55.66,520.24
Orobó,PE,60.53,138.36,22412.00,26007.05,67.39,68.27,45.93,78.70,35.23,85.64,69.98,83.88,69.81,60.08,59.28,24.56,57.99,73.69,27.48,81.53,709.42,144.50,10.76,2.60,33.31,23.51,33.67,50.70,29.87,92.65,91.57,96.70,14.67,0.00,14.16,9.72,0.26,0.00,13.84,5.16,5.44,1.10,94.63,2.35,57.12,95.23,49.00,72.19,205.23,430.37,25.89,2.64,3.01,0.45,17.73,3.63,51.89,4.00,0.00,506.62,1133.15,58.38,86.44,4.00,10.90,0.94,0.33,0.00,0.36,0.69,,17.20,18.23,30.47,45.70,514.58
Limoeiro,PE,60.52,273.73,59236.00,16732.05,74.55,66.48,40.54,75.35,64.10,91.63,67.11,83.04,73.07,50.96,58.85,25.86,57.83,51.39,27.06,89.72,908.76,193.48,15.06,2.90,58.13,24.51,86.62,29.67,77.55,92.93,89.40,96.97,26.41,2.62,15.26,15.60,0.30,0.80,14.08,4.26,5.09,1.20,93.47,19.45,58.04,95.64,83.00,72.81,227.57,463.48,35.07,7.12,2.29,0.51,28.63,4.99,52.81,4.00,0.00,530.43,1535.33,33.72,89.60,10.00,13.60,1.04,0.27,9.23,0.13,0.76,74.07,221.48,67.64,25.23,31.45,559.59
Lajedo,PE,60.49,189.10,41960.00,16836.68,67.86,64.97,48.63,73.71,72.16,94.11,31.47,78.55,76.09,44.76,60.48,46.21,53.94,63.28,31.11,82.47,705.20,177.60,19.38,2.85,64.57,56.35,97.40,40.49,75.83,96.00,93.17,99.75,102.74,9.30,43.13,32.96,1.70,0.78,13.06,7.32,4.58,2.42,94.65,38.87,54.89,94.86,76.67,70.50,345.18,488.87,24.88,9.22,3.25,0.24,17.69,7.83,54.99,9.00,7.00,685.29,2621.92,63.14,109.29,6.00,14.54,2.98,0.29,2.50,0.46,0.77,,220.85,99.12,39.54,48.17,528.25
São Joaquim do Monte,PE,60.48,224.62,20438.00,12643.65,71.36,62.40,47.69,75.57,78.21,91.23,40.42,77.40,68.34,46.53,57.33,45.91,60.66,60.10,24.07,91.77,1051.07,189.87,19.56,2.35,72.25,87.23,88.05,33.05,76.51,95.68,85.19,96.93,94.50,1.96,43.81,12.66,0.72,0.20,21.80,7.28,4.41,4.32,95.29,8.64,43.71,95.05,76.82,69.47,307.47,493.17,25.12,4.88,2.83,0.49,27.67,0.71,49.18,7.00,7.00,505.83,484.28,65.72,118.07,3.00,16.21,0.31,0.29,1.77,0.55,0.77,,316.24,389.77,25.11,34.98,513.61
Barra de Guabiraba,PE,60.41,118.64,12601.00,15635.03,73.38,62.84,45.00,78.71,83.99,89.42,41.42,81.75,64.54,47.18,57.90,39.24,49.69,63.86,27.22,87.34,756.92,175.21,4.82,3.21,81.45,88.95,97.91,35.79,85.20,91.34,80.42,94.95,78.81,3.16,39.24,7.88,0.90,0.30,19.28,5.56,5.47,1.72,97.07,26.45,39.12,76.24,62.95,68.54,290.25,463.20,27.53,6.31,2.44,0.79,22.43,2.50,52.78,6.00,6.00,947.67,698.26,73.65,121.94,2.00,23.58,0.14,0.29,0.00,0.44,0.36,,63.61,85.71,30.37,43.50,517.04
São José do Egito,PE,60.39,774.04,32508.00,14501.85,73.41,64.30,43.45,76.95,74.47,93.25,48.97,84.57,67.74,48.77,56.12,35.91,53.85,56.66,27.37,97.71,802.66,154.67,14.34,4.18,69.28,87.42,86.80,44.57,64.71,98.69,98.01,96.61,53.03,7.14,30.67,28.84,0.12,0.52,14.64,3.32,5.37,0.70,81.34,15.10,53.17,94.40,83.29,71.13,288.20,436.72,27.16,9.20,4.77,4.61,32.09,0.79,47.29,2.00,8.00,588.36,1386.06,62.29,131.05,4.00,13.38,2.31,0.28,0.78,0.31,0.51,,238.18,288.46,26.35,34.12,553.66
Carnaíba,PE,60.30,432.14,19533.00,10899.04,72.98,62.93,44.97,74.96,60.27,89.17,67.54,82.42,58.48,53.92,56.93,35.18,51.32,65.04,28.33,96.97,936.63,144.99,23.64,3.83,53.29,47.02,67.50,29.06,47.05,96.40,88.97,99.01,9.29,2.02,13.30,9.21,0.38,1.50,12.10,8.00,5.75,1.36,65.72,6.97,31.92,96.03,90.19,68.62,193.34,431.13,23.31,2.04,3.57,4.10,29.60,6.15,55.59,8.00,0.00,442.69,815.64,42.79,111.65,4.00,15.54,1.93,0.27,0.73,0.18,0.98,,213.89,31.87,25.50,39.78,554.20
Bom Jardim,PE,60.18,226.64,39289.00,10665.63,66.49,62.71,51.33,75.63,53.72,84.47,52.16,80.65,62.92,49.96,57.31,52.89,53.23,76.38,22.80,87.02,663.08,178.13,15.75,2.97,52.81,28.13,66.16,43.97,33.63,89.30,84.60,98.79,51.39,4.97,24.86,16.25,0.04,0.00,19.10,5.84,4.78,3.30,85.04,0.55,36.68,95.41,80.27,70.99,268.40,447.05,25.32,10.66,2.69,0.00,32.88,3.37,51.76,11.00,9.00,1058.11,2476.23,64.90,90.01,4.00,12.56,0.76,0.30,0.17,0.46,0.87,,26.91,9.60,19.85,28.49,528.82
Riacho das Almas,PE,60.14,313.61,21490.00,13463.33,71.10,63.77,45.56,76.70,53.53,89.10,65.08,76.50,74.15,52.99,51.44,29.48,56.71,72.70,23.36,79.95,864.68,151.77,14.30,2.55,39.23,45.33,58.35,24.06,56.71,92.13,87.51,99.25,40.52,3.73,24.59,13.24,0.24,1.08,18.28,10.66,4.19,2.16,94.50,24.04,56.20,96.60,58.59,70.39,265.17,388.18,25.05,11.31,2.96,1.86,51.06,0.39,53.72,7.00,0.00,689.80,1770.40,55.19,94.75,2.00,14.76,1.64,0.28,1.93,0.00,0.71,,54.01,0.00,25.46,34.94,503.80
Santa Terezinha,PE,60.14,200.33,10487.00,11703.92,76.43,60.73,43.27,77.15,69.93,93.25,65.40,78.64,59.05,52.59,52.63,34.16,48.24,57.34,33.35,91.52,414.07,159.82,16.69,3.22,60.13,62.49,80.59,24.10,61.89,97.40,96.96,99.10,40.21,0.00,26.31,20.84,1.16,0.20,17.30,5.82,4.54,4.74,73.15,10.01,41.44,85.20,69.49,69.20,252.14,381.32,28.91,1.86,4.67,15.26,37.06,0.25,51.29,6.00,3.00,588.36,1386.06,62.29,131.05,3.00,18.95,0.00,0.29,3.38,0.22,0.37,,127.99,160.77,37.21,52.97,551.06
Lagoa do Ouro,PE,60.14,200.00,12367.00,12143.61,75.38,58.90,46.12,77.29,68.57,89.43,66.23,77.88,60.37,47.42,49.95,40.92,60.06,50.12,33.40,90.83,1072.60,175.85,11.97,2.94,82.58,50.67,57.65,25.21,54.73,95.72,88.46,97.78,33.29,3.15,19.32,12.82,0.06,0.00,27.50,6.76,4.53,4.06,86.76,1.88,45.59,81.10,65.60,68.99,275.14,467.33,26.11,11.24,7.39,1.62,52.85,0.88,52.00,7.00,5.00,490.92,1020.68,58.72,98.58,7.00,15.11,3.83,0.27,0.55,0.44,0.76,666.67,336.75,82.99,39.47,47.88,557.91
Cachoeirinha,PE,60.11,179.26,20673.00,14044.31,76.90,62.99,40.43,75.83,84.79,94.88,52.13,74.84,71.87,48.15,57.10,25.89,51.92,59.07,24.85,89.03,898.51,184.47,13.00,3.17,72.03,85.91,97.36,13.51,75.88,97.66,95.34,99.31,70.23,1.89,37.04,17.64,0.44,2.44,20.12,10.74,4.71,7.06,92.72,13.63,56.84,96.58,60.71,70.18,311.78,507.79,20.92,10.78,6.00,0.48,38.27,3.65,46.66,6.00,0.00,1038.12,1699.63,61.76,82.01,2.00,15.71,3.87,0.30,0.00,0.36,0.80,,594.56,128.07,24.74,35.08,524.22
Palmeirina,PE,60.01,169.01,7104.00,12860.64,71.48,60.05,48.52,65.83,61.38,91.32,67.37,75.13,64.71,47.45,52.89,34.05,48.74,76.55,34.73,63.43,856.75,153.49,23.11,4.59,59.81,62.02,78.48,61.41,67.50,96.14,93.40,95.06,0.00,15.97,24.89,8.36,0.48,1.38,27.50,6.90,3.67,2.68,88.74,4.72,35.64,96.23,77.47,65.87,258.34,443.69,21.76,5.35,6.26,0.00,51.56,5.01,53.26,9.00,0.00,522.36,1534.44,61.59,102.58,3.00,20.42,0.00,0.29,3.83,0.44,0.30,,21.51,0.00,51.93,72.50,478.03
Terra Nova,PE,59.97,318.71,9231.00,13580.22,76.38,63.07,40.47,77.31,80.12,76.91,71.17,85.13,61.51,55.96,49.67,23.88,49.74,57.91,30.34,94.71,998.38,102.70,15.47,4.81,74.52,83.02,95.82,35.69,61.85,95.95,29.18,97.69,17.99,0.00,8.67,8.68,0.16,0.00,10.96,1.66,5.13,2.60,69.88,10.03,36.20,97.50,65.88,69.43,192.22,404.33,23.71,8.68,6.20,4.33,32.83,0.00,58.01,1.00,5.00,1030.49,2734.33,80.28,121.94,2.00,16.93,0.95,0.29,4.67,0.22,0.91,,353.60,261.63,37.84,56.62,502.48
Camutanga,PE,59.94,39.12,7962.00,53691.91,69.89,65.21,44.71,77.94,69.21,84.60,47.81,75.35,77.35,51.52,56.61,32.55,55.54,58.72,32.05,94.78,713.54,181.38,8.41,3.65,63.35,20.64,89.21,14.41,70.85,94.05,67.60,93.09,76.40,4.93,44.80,2.51,0.50,0.00,26.50,8.96,4.20,5.02,97.68,46.22,57.20,91.01,76.39,70.58,256.21,488.57,23.36,4.99,3.32,0.00,33.06,3.12,51.76,8.00,0.00,511.91,669.17,75.00,101.07,3.00,16.20,3.97,0.29,3.05,0.22,0.68,,206.08,169.49,45.93,53.70,508.10
Triunfo,PE,59.91,191.52,15141.00,13354.80,71.70,64.52,43.50,76.90,47.53,91.89,70.48,83.94,61.19,57.55,55.39,22.27,56.41,62.89,32.43,93.59,1135.06,160.63,14.89,3.34,35.78,18.96,58.15,27.66,50.10,97.58,97.80,99.00,5.83,0.00,11.83,13.13,0.06,1.18,13.34,6.32,5.75,0.30,68.79,0.33,48.89,95.18,69.49,74.00,226.56,452.42,25.97,6.57,2.81,6.60,24.44,0.72,53.55,4.00,0.00,961.05,2092.81,50.02,63.53,8.00,12.93,1.17,0.27,1.20,0.00,0.83,,58.37,107.14,37.78,53.45,536.73
Cedro,PE,59.85,148.75,10843.00,12317.07,75.87,62.01,41.67,79.89,62.98,94.80,65.81,75.43,69.62,51.86,51.11,17.54,52.75,63.14,33.25,100.00,983.17,119.50,18.51,3.25,61.14,59.58,79.62,55.71,74.50,98.07,95.70,99.10,14.22,7.36,9.19,20.22,2.32,2.46,18.98,7.88,4.41,2.08,84.84,23.40,49.53,94.92,68.62,68.00,220.29,375.93,17.96,22.09,3.76,8.30,36.74,0.59,57.00,2.00,0.00,1047.16,2445.92,56.48,85.19,3.00,15.01,0.83,0.26,0.67,0.67,0.74,,309.61,178.57,43.62,64.84,502.10
Iguaracy,PE,59.85,836.05,11347.00,10757.73,74.11,60.46,44.97,78.27,59.90,88.61,69.64,81.71,53.04,57.70,49.40,49.48,50.80,63.54,16.05,89.31,721.29,110.83,17.13,3.53,49.26,61.85,65.81,32.78,50.16,96.04,91.58,95.13,8.13,0.00,15.68,19.17,0.04,0.20,18.16,5.76,5.07,2.32,63.87,0.73,35.86,83.03,53.44,71.19,233.15,401.00,21.92,8.66,9.40,13.22,33.50,0.21,55.20,8.00,8.00,468.57,1206.35,49.13,103.85,3.00,11.69,2.64,0.30,4.90,0.22,0.69,,73.35,81.86,10.09,13.21,509.80
Toritama,PE,59.79,25.70,43921.00,18504.93,69.50,66.29,43.58,73.20,56.06,94.87,53.88,71.12,75.26,58.05,60.72,31.30,51.82,63.88,27.29,75.21,591.63,169.74,14.70,3.33,27.05,74.64,81.83,47.82,91.15,94.20,90.01,99.55,67.66,1.83,29.00,13.11,1.44,4.40,22.12,11.22,3.97,5.10,99.99,22.79,54.81,97.29,78.65,72.83,203.66,476.92,23.53,1.88,1.03,0.00,40.07,6.11,50.37,8.00,0.00,550.85,2078.73,62.25,103.51,2.00,17.47,0.28,0.29,2.59,0.15,0.56,,117.63,16.56,32.44,41.74,516.48
Itapissuma,PE,59.77,73.97,29669.00,109832.62,64.84,67.88,46.61,70.38,53.31,84.89,50.76,79.41,73.48,54.42,64.21,21.75,51.06,74.94,38.68,64.74,916.00,201.15,10.40,3.18,75.74,12.97,56.93,58.75,90.52,65.38,80.68,98.85,45.18,6.27,31.30,5.51,0.46,0.14,21.12,5.06,4.45,3.36,99.99,5.94,61.01,97.61,75.43,70.85,206.79,480.31,24.72,4.89,1.05,0.34,3.12,1.61,47.54,5.00,0.00,1492.62,2581.30,77.43,130.59,3.00,17.11,2.28,0.28,1.69,0.36,0.57,,17.18,5.18,58.61,72.30,509.08
Ibirajuba,PE,59.75,189.60,7334.00,13519.63,68.72,61.92,48.62,78.25,58.45,90.65,47.55,78.10,59.85,56.50,53.24,35.93,53.96,79.33,25.25,93.72,903.85,125.42,15.70,3.70,45.38,59.24,67.68,34.25,58.43,94.64,92.13,98.25,59.62,5.47,45.99,8.09,0.24,0.00,16.76,9.58,4.61,4.42,62.44,11.34,42.26,93.95,52.36,70.16,278.86,391.05,20.34,2.72,7.41,1.36,28.33,0.00,51.17,6.00,5.00,888.39,1504.81,71.19,105.04,1.00,16.49,0.29,0.28,0.00,0.22,0.60,,11.00,0.00,29.27,36.40,513.15
Jaboatão dos Guararapes,PE,59.63,258.72,684293.00,29638.32,63.67,70.79,44.42,66.94,64.03,82.14,41.56,78.61,77.99,59.74,66.83,42.82,53.40,51.85,29.62,52.50,958.57,148.59,15.08,4.23,74.03,27.47,78.35,46.09,75.36,66.95,76.90,98.08,98.14,4.47,38.58,4.77,0.66,0.98,20.76,6.50,4.63,3.00,99.95,22.07,68.08,97.70,78.98,74.82,226.97,410.71,25.37,4.33,1.04,0.01,11.63,8.33,49.16,8.00,5.00,515.64,1025.90,59.64,103.04,8.00,13.16,2.60,0.28,15.05,0.15,0.77,25.87,223.63,105.29,39.23,44.89,518.56
Camaragibe,PE,59.55,51.32,156112.00,15607.72,61.50,68.59,48.57,66.38,55.72,81.63,42.25,78.93,78.98,52.09,64.34,46.14,53.02,65.90,29.21,48.69,980.38,166.60,15.53,3.55,67.10,20.20,78.24,69.35,70.67,70.90,72.06,98.57,91.40,3.91,35.40,3.60,0.76,0.38,20.86,5.12,4.59,4.50,100.00,27.21,73.29,94.73,84.44,73.28,265.29,477.40,29.40,3.22,0.99,0.00,8.27,8.50,55.76,8.00,8.00,708.09,1898.35,67.21,94.51,6.00,11.40,1.83,0.28,17.58,0.46,0.71,7.09,38.58,22.00,35.10,44.75,525.50
Moreno,PE,59.54,194.20,57654.00,19396.90,63.67,67.80,47.16,71.21,66.59,79.94,36.95,76.62,73.16,54.84,66.56,38.02,53.33,65.75,31.56,74.38,827.18,171.84,16.02,3.77,67.25,49.36,81.68,43.71,67.14,71.78,71.54,95.03,102.75,6.65,47.66,10.71,1.14,2.04,20.36,5.34,3.84,2.42,92.46,25.65,53.19,96.16,72.75,73.28,269.24,479.56,23.70,3.79,1.34,0.69,12.65,10.15,50.99,4.00,6.00,428.41,1442.92,36.26,84.69,3.00,16.72,0.46,0.29,5.34,0.31,0.77,15.04,31.94,20.49,40.72,51.51,522.20
Santa Maria da Boa Vista,PE,59.52,3000.77,42782.00,18276.21,68.81,61.25,48.49,78.66,54.27,78.95,63.36,70.98,65.57,59.67,48.80,63.46,49.29,58.34,22.86,84.69,489.51,96.29,17.65,3.35,72.30,49.59,44.51,57.50,42.13,87.02,68.03,92.79,37.08,1.91,32.47,19.28,0.56,4.38,30.16,6.90,3.94,11.14,72.02,19.89,46.76,96.10,71.10,71.39,248.32,290.52,22.74,4.24,5.89,8.88,19.86,1.69,65.88,12.00,12.00,597.36,1480.04,59.87,87.91,7.00,19.94,0.44,0.29,0.76,0.31,0.81,6.67,245.20,84.69,26.03,37.34,490.00
Macaparana,PE,59.50,108.05,24642.00,14577.06,71.10,62.06,45.35,78.39,75.51,91.98,38.50,80.36,60.79,46.31,60.79,29.34,52.86,68.76,30.44,94.00,838.11,191.39,11.58,2.54,77.38,80.21,76.20,32.03,74.76,95.94,85.87,98.93,92.83,7.99,40.56,7.30,0.36,0.10,15.64,5.92,4.43,2.22,77.33,5.70,31.32,95.27,78.58,71.70,290.59,550.93,27.54,8.93,1.89,0.00,26.31,4.73,49.99,5.00,0.00,398.37,390.04,57.20,94.65,5.00,15.54,0.19,0.27,0.59,0.18,0.99,,71.96,29.75,32.73,48.09,539.48
Quipapá,PE,59.49,230.62,17731.00,11926.17,70.26,60.85,47.37,73.08,71.22,88.74,47.99,75.99,67.03,49.44,50.94,41.08,51.01,64.31,33.10,75.20,665.69,167.83,14.11,3.48,61.19,68.12,90.75,38.53,65.00,97.06,84.12,94.08,50.46,10.54,31.97,19.62,1.38,1.34,20.90,8.68,4.21,1.48,92.19,6.86,42.04,95.47,64.55,69.57,297.32,453.84,25.60,4.27,4.20,2.82,36.24,2.39,60.08,7.00,6.00,700.94,1439.05,61.01,86.79,1.00,17.54,0.84,0.30,0.70,0.00,0.40,,27.77,27.14,44.23,57.35,517.00
Buenos Aires,PE,59.43,93.19,13276.00,12294.14,72.57,64.70,41.02,76.01,59.72,91.69,62.87,78.64,65.28,54.60,60.28,15.70,48.70,81.31,18.36,88.72,906.27,181.17,9.13,3.71,73.24,12.96,76.34,51.96,72.08,97.71,92.68,93.80,12.76,2.97,34.71,7.55,0.80,0.00,21.16,6.48,4.34,1.72,86.64,6.83,40.41,95.45,49.45,71.66,280.89,455.26,15.70,16.61,1.60,0.00,19.73,2.11,50.00,1.00,0.00,974.12,1885.75,62.54,85.83,1.00,17.58,0.12,0.29,0.00,0.67,0.48,,20.78,0.00,16.83,24.16,492.40
Vicência,PE,59.36,227.91,27151.00,22672.50,66.16,62.46,49.44,77.59,57.84,91.88,37.32,77.37,67.81,47.63,57.05,38.02,52.29,75.84,31.61,90.95,695.22,171.47,15.28,2.68,72.59,46.28,60.97,62.22,71.40,93.53,91.11,98.34,95.15,1.37,57.99,10.76,0.46,0.00,23.40,7.20,4.16,3.14,93.18,5.30,48.33,94.14,66.57,70.26,311.29,470.87,26.77,7.08,3.25,1.84,24.46,2.70,52.68,4.00,6.00,223.11,1562.16,56.28,99.60,3.00,16.83,0.45,0.28,0.00,0.36,0.85,,26.36,7.20,45.43,59.92,488.58
Cabo de Santo Agostinho,PE,59.35,445.39,218049.00,72908.47,60.47,69.17,48.41,64.09,74.01,85.16,18.63,78.96,78.04,54.92,64.76,57.38,54.19,45.83,36.22,60.41,1041.57,189.07,13.21,5.50,77.59,62.01,88.84,44.53,70.60,78.47,80.87,97.40,194.53,11.79,76.06,10.86,0.24,0.42,22.08,5.82,4.38,2.84,97.76,25.96,68.98,96.83,50.00,73.74,289.30,478.28,27.20,4.10,2.08,0.23,9.64,6.12,48.16,12.00,8.00,438.34,935.58,56.13,84.66,8.00,16.23,1.75,0.27,54.40,0.38,1.00,10.87,658.92,565.03,56.03,60.31,515.30
Floresta,PE,59.34,3637.25,31702.00,18398.18,71.53,60.45,46.04,72.18,70.46,79.00,64.49,74.91,67.67,52.88,46.36,43.80,49.17,58.26,32.95,76.97,766.49,151.68,16.05,4.16,55.20,76.89,92.25,41.10,56.75,89.14,67.87,86.47,23.40,2.52,18.44,29.26,0.92,2.36,29.80,6.80,4.42,4.60,72.11,34.80,44.74,95.22,84.07,71.52,232.32,458.06,25.42,7.00,12.27,4.10,24.06,2.54,67.10,5.00,10.00,1437.46,2342.62,37.92,62.37,6.00,20.35,4.98,0.29,1.52,0.31,1.00,5.55,232.93,222.97,40.59,61.50,515.26
