Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Sirinhaém,PE,58.05,374.32,39171.00,21991.19,64.62,64.46,45.07,67.51,61.21,88.30,41.45,78.17,69.78,50.88,59.04,54.72,45.96,59.72,19.88,65.90,759.49,202.66,16.08,3.85,68.59,70.66,61.38,58.04,78.77,79.08,88.00,98.13,104.44,1.98,39.07,17.61,0.44,0.30,22.18,6.22,4.10,2.10,90.68,22.56,44.34,94.64,69.72,70.76,271.29,501.78,25.36,3.01,1.94,2.30,5.84,1.60,54.90,13.00,7.00,737.71,2192.29,58.74,102.52,0.00,23.23,1.34,0.31,5.34,0.31,0.64,133.33,50.02,15.18,21.16,27.70,490.42
São Bento do Una,PE,58.04,719.19,51165.00,37312.19,67.99,63.10,43.02,78.62,52.91,91.24,49.17,78.35,68.06,55.12,50.87,39.45,51.04,58.02,23.59,93.33,784.86,156.84,12.92,3.13,42.54,60.00,53.85,36.78,62.09,93.94,91.89,99.17,72.97,5.35,38.58,13.91,0.48,1.48,19.82,8.96,4.92,2.10,81.01,24.81,43.38,96.07,58.64,72.34,274.88,422.49,22.17,10.42,8.74,2.54,42.11,4.11,56.75,4.00,9.00,737.61,2958.61,63.82,101.34,4.00,17.42,0.65,0.31,4.56,0.31,0.86,103.45,196.98,14.81,23.67,33.15,516.30
Terezinha,PE,58.03,151.63,6853.00,13369.47,71.47,57.01,45.60,77.99,50.07,91.76,66.05,77.60,61.80,44.82,43.84,28.33,49.31,59.14,45.60,94.24,1027.87,154.48,13.23,3.37,42.25,49.24,51.92,39.27,45.73,98.64,97.77,99.47,12.21,0.00,14.52,37.85,0.08,0.00,25.62,8.68,4.77,4.36,84.95,2.48,38.77,90.09,76.09,67.65,241.55,506.49,27.85,11.65,14.64,8.76,69.55,0.00,53.63,2.00,5.00,1043.55,1556.44,55.97,88.47,2.00,16.14,0.00,0.32,0.00,0.22,0.69,,278.08,111.42,63.42,86.65,546.71
Lagoa de Itaenga,PE,58.02,57.30,19863.00,27743.74,63.95,62.13,47.97,72.66,59.34,94.81,28.98,76.64,68.22,46.24,57.44,36.45,55.83,74.68,24.92,89.42,867.71,202.58,19.19,3.30,47.78,30.93,82.72,34.78,82.74,94.41,95.11,99.11,133.77,3.81,49.35,14.81,2.06,0.22,23.16,6.16,4.03,0.62,99.93,0.19,44.05,95.67,61.64,71.44,354.42,532.45,25.08,5.90,2.49,0.00,15.99,0.83,53.27,6.00,5.00,564.25,2117.10,68.94,100.74,3.00,15.65,0.10,0.28,1.00,0.55,1.00,,34.12,38.91,29.72,38.73,501.92
Paudalho,PE,57.85,269.65,59924.00,19224.03,61.79,65.13,46.63,76.19,57.20,79.57,34.20,76.86,71.66,53.21,58.81,52.99,50.24,65.07,18.21,94.97,791.04,171.88,13.76,3.89,61.42,27.68,68.03,43.61,60.85,74.32,72.61,93.88,122.52,8.66,48.25,15.69,0.70,0.26,25.00,6.28,4.18,4.34,97.32,15.50,50.97,95.12,68.91,71.92,265.89,444.57,26.63,5.42,1.93,1.34,13.70,4.57,57.42,11.00,7.00,544.68,1117.20,54.02,103.01,4.00,16.58,0.80,0.31,0.00,0.53,0.72,,169.74,91.45,15.42,18.36,508.90
Mirandiba,PE,57.84,821.68,14605.00,15145.98,74.22,57.32,42.00,76.35,68.72,83.21,68.59,78.92,50.17,53.16,47.02,46.16,50.18,52.54,19.11,93.83,1044.28,129.16,22.12,3.45,52.77,48.88,90.33,22.01,45.86,93.38,78.96,91.79,41.70,0.00,20.51,15.05,0.08,0.04,24.42,5.38,4.16,1.98,52.29,14.50,37.24,75.08,72.60,71.12,275.55,450.89,19.46,8.21,6.63,7.53,16.13,0.75,68.83,7.00,8.00,498.41,1345.80,64.48,121.16,1.00,19.16,0.67,0.28,5.81,0.00,0.49,6.62,169.98,80.13,22.22,28.70,475.22
Brejão,PE,57.82,159.79,9417.00,24099.82,68.07,54.37,51.03,73.49,51.69,88.43,58.66,74.45,58.09,42.27,42.65,57.48,48.59,64.09,33.97,96.25,1109.31,153.47,25.06,3.89,55.42,21.28,47.63,26.02,45.75,91.37,91.66,99.35,42.21,4.19,36.36,34.16,0.44,2.96,27.96,8.40,4.73,7.30,71.71,2.74,33.28,92.12,83.38,68.51,366.69,531.97,20.54,4.26,10.51,0.00,80.17,0.00,57.30,13.00,7.00,491.28,1087.64,46.74,74.70,3.00,14.65,1.43,0.32,3.30,0.00,1.00,,79.64,72.46,52.14,64.25,488.38
Itaíba,PE,57.80,1034.04,33995.00,11479.60,72.11,58.37,42.92,77.32,56.68,89.53,64.91,76.22,55.07,54.82,47.35,36.09,47.73,69.43,18.43,85.43,783.98,147.70,13.23,3.13,52.95,44.10,67.45,43.58,47.87,96.80,90.34,98.58,32.20,2.39,16.52,26.83,0.10,0.62,26.70,7.28,3.90,3.20,56.47,1.73,37.08,92.81,61.73,66.25,190.71,392.62,20.02,6.76,7.55,4.71,24.32,0.10,64.35,9.00,0.00,473.71,824.85,48.53,78.18,2.00,17.46,0.24,0.31,0.00,0.15,0.26,,9.68,14.74,12.04,18.63,520.62
Jucati,PE,57.74,120.17,12023.00,11876.40,69.33,62.60,41.30,77.83,44.43,89.88,65.18,78.79,64.30,50.56,56.75,24.06,49.62,62.57,28.96,93.22,678.55,158.04,8.53,4.17,24.02,62.04,43.98,34.60,47.45,92.34,95.93,99.35,34.63,0.00,18.51,43.85,0.34,0.10,18.62,8.96,5.02,4.70,98.73,9.81,21.27,93.57,77.09,65.87,244.53,443.02,18.29,1.70,3.34,0.00,13.04,0.70,53.93,5.00,0.00,677.80,2392.63,66.72,98.52,2.00,16.25,0.30,0.30,0.00,0.00,0.73,,83.60,51.09,35.22,40.91,531.50
Vertente do Lério,PE,57.70,73.63,7776.00,12018.00,66.42,60.77,45.90,79.90,34.11,88.87,62.81,79.02,62.64,49.50,51.90,26.82,55.32,76.22,25.25,96.68,734.36,152.76,14.09,2.84,4.66,16.07,38.74,11.22,40.19,95.94,95.80,96.82,34.11,5.15,22.97,10.21,0.76,0.00,27.32,5.74,4.70,1.12,88.46,1.57,30.94,94.98,96.08,68.54,218.05,476.36,22.27,7.65,3.04,0.00,54.47,1.60,53.55,7.00,0.00,1394.46,3699.21,49.29,85.21,2.00,14.04,0.00,0.34,0.00,0.22,0.81,,56.21,0.00,31.45,47.49,479.34
São João,PE,57.62,258.44,24895.00,15038.64,67.56,61.73,43.58,75.91,54.04,88.10,52.20,74.25,63.72,53.27,55.66,23.92,51.81,66.64,31.95,93.65,737.39,165.97,18.44,3.38,52.80,17.57,69.63,39.67,50.08,92.76,86.22,99.27,53.18,1.63,27.88,23.87,0.46,3.02,32.56,7.18,4.51,5.70,84.96,4.90,35.10,96.35,66.58,71.09,259.35,449.16,25.29,4.97,3.69,0.40,31.09,2.10,52.27,4.00,0.00,522.36,1534.44,61.59,102.58,3.00,15.86,0.00,0.29,0.00,0.18,0.68,,50.00,36.63,48.80,56.04,492.88
Jurema,PE,57.61,148.25,14002.00,10438.94,70.54,60.94,41.36,70.05,82.30,91.51,38.29,76.30,68.72,44.96,53.77,28.82,50.08,65.49,21.05,89.04,1018.76,193.31,23.18,4.03,69.58,85.32,99.71,24.49,70.26,95.89,93.25,94.87,92.52,2.79,53.56,4.23,0.06,0.12,26.44,9.56,4.53,4.70,91.04,9.68,47.53,96.39,56.16,65.87,339.46,501.15,20.75,0.00,3.58,0.00,30.66,2.37,56.94,6.00,0.00,400.42,1176.46,63.57,96.05,3.00,18.27,2.31,0.29,0.74,0.00,0.18,,112.08,0.00,25.01,33.42,479.91
Belém do São Francisco,PE,57.57,1830.83,18648.00,38362.83,69.88,60.12,42.71,72.52,68.28,74.34,64.38,77.07,67.18,51.28,44.93,27.71,53.54,59.70,29.87,76.04,1171.03,125.11,18.74,3.97,61.44,73.55,79.27,40.46,51.29,90.92,56.20,81.86,12.39,2.11,18.96,21.94,0.30,1.18,26.30,7.74,4.65,3.78,73.25,36.61,42.90,93.15,81.01,72.06,285.07,402.10,22.54,15.76,15.68,1.61,30.73,0.36,63.75,2.00,5.00,1050.57,1447.37,66.35,92.89,7.00,21.10,1.22,0.29,0.51,0.36,0.69,2.08,149.36,160.64,39.58,52.79,501.00
Itambé,PE,57.52,304.01,36652.00,16010.67,63.86,64.99,43.72,78.01,59.29,94.27,23.87,75.69,77.20,48.82,58.27,40.14,48.33,60.90,25.50,100.00,643.35,182.95,18.11,2.70,68.54,7.91,73.24,38.16,93.18,92.39,90.21,98.37,159.21,2.15,73.02,10.90,1.80,0.48,22.26,4.64,3.92,6.20,98.76,25.40,66.08,95.72,66.19,68.59,295.20,408.89,25.15,7.63,2.23,2.73,13.42,1.03,52.80,8.00,4.00,538.67,1554.83,56.42,97.59,2.00,20.36,0.41,0.31,1.36,0.15,0.00,,34.36,36.69,25.94,35.25,528.57
Taquaritinga do Norte,PE,57.48,475.18,25511.00,15761.36,63.34,65.18,43.93,80.96,43.55,92.29,36.56,76.65,73.80,55.77,54.52,26.28,54.97,71.99,22.46,90.60,706.90,134.47,12.38,2.49,15.97,48.39,47.65,21.00,73.57,94.80,89.78,98.60,86.65,3.09,43.85,43.87,0.60,2.20,21.94,9.22,4.80,3.46,88.87,14.20,72.68,95.29,85.04,72.76,256.95,417.69,22.67,4.71,4.44,0.78,43.82,1.68,49.26,5.00,0.00,509.62,1550.50,59.85,113.85,4.00,12.69,0.42,0.28,0.46,0.18,0.77,,20.04,16.27,22.73,33.68,503.48
São Benedito do Sul,PE,57.47,160.48,13456.00,9592.45,70.16,62.11,40.13,76.40,50.82,85.19,68.24,76.49,61.35,58.92,51.68,25.20,44.11,67.70,23.52,83.96,469.90,150.81,13.83,3.44,61.35,14.58,47.02,34.07,64.81,91.54,78.21,92.12,32.39,0.00,22.12,14.65,0.88,0.14,18.84,10.34,4.08,0.92,86.70,0.69,25.58,96.16,87.58,69.17,149.21,399.50,22.81,0.00,3.61,0.74,33.96,0.18,57.11,5.00,0.00,700.94,1439.05,61.01,86.79,3.00,23.59,0.70,0.32,1.71,0.22,0.30,,20.52,17.62,25.75,39.13,494.66
Capoeiras,PE,57.47,337.11,18854.00,14113.19,67.29,61.78,43.33,75.55,39.82,89.40,64.40,77.12,58.29,55.40,56.30,25.04,51.80,67.87,28.62,90.41,697.04,174.24,16.63,3.30,31.49,36.71,40.35,45.05,39.95,98.40,90.51,99.79,17.73,6.26,15.67,19.88,0.56,1.10,23.36,7.70,4.42,2.94,60.94,1.72,51.21,90.52,55.63,69.74,249.00,448.79,18.49,6.28,5.15,3.18,31.04,3.13,50.30,4.00,0.00,637.02,1088.07,47.82,93.27,5.00,11.76,0.68,0.31,1.98,0.36,0.84,,87.95,41.28,39.68,52.98,484.63
Primavera,PE,57.46,113.56,14380.00,22280.88,60.58,66.06,45.74,75.95,49.75,81.76,34.87,76.67,74.71,55.59,57.28,16.01,55.86,89.83,21.26,67.61,556.22,140.98,11.34,2.58,52.39,67.78,46.51,63.17,62.55,80.31,81.66,89.52,103.61,5.59,57.19,12.55,0.92,1.42,20.48,7.60,4.07,1.80,90.02,51.41,42.06,95.07,58.17,71.03,230.78,386.85,28.53,6.97,2.33,2.09,10.80,0.82,55.20,1.00,0.00,618.07,2191.55,71.76,103.56,2.00,20.60,0.59,0.28,0.96,0.67,0.98,,5.59,0.00,23.16,28.91,498.96
Machados,PE,57.45,58.32,11387.00,23861.77,71.06,60.28,41.03,76.81,53.58,90.86,62.98,79.62,57.87,47.90,55.73,16.91,61.33,62.74,23.14,91.34,659.84,189.09,13.74,2.86,65.81,2.94,67.89,49.80,70.95,90.80,90.13,98.28,42.27,3.27,25.40,20.53,0.04,0.00,21.04,7.82,4.97,3.56,92.38,1.39,28.81,80.03,72.99,70.99,290.44,549.31,25.25,5.06,2.77,0.00,38.60,0.01,48.44,2.00,0.00,1058.11,2476.23,64.90,90.01,2.00,15.72,0.00,0.29,0.58,0.44,0.90,,184.76,288.00,26.52,37.52,491.60
Cortês,PE,57.43,103.42,10426.00,14172.36,67.61,59.77,44.90,66.14,75.86,86.18,42.26,78.88,60.31,43.41,56.48,37.22,53.62,65.69,23.08,56.80,1535.93,221.24,15.18,2.71,74.70,71.70,77.20,21.12,65.37,85.94,84.56,94.57,81.64,0.00,47.39,3.75,0.90,0.00,20.48,5.94,4.40,2.30,76.21,0.17,34.33,95.92,71.21,67.42,341.31,534.90,23.40,0.00,1.26,3.84,25.96,1.52,55.77,6.00,5.00,986.11,992.50,60.94,102.18,3.00,16.94,1.42,0.29,0.00,0.22,0.50,,60.98,24.13,23.49,31.06,515.61
Jaqueira,PE,57.43,87.21,10440.00,12388.31,67.88,61.36,43.05,71.25,58.07,85.05,57.15,74.13,68.64,47.92,54.74,38.26,46.77,62.33,24.82,91.71,1391.78,227.92,15.25,3.76,43.85,26.23,72.27,15.84,44.85,92.65,83.39,94.85,49.43,0.00,26.06,15.04,0.96,0.38,32.84,7.20,4.01,4.80,94.25,14.79,40.73,95.08,85.58,70.07,241.12,620.86,28.20,0.00,2.30,1.92,20.63,3.32,61.24,7.00,5.00,657.18,1871.83,70.45,102.44,3.00,24.45,2.33,0.30,1.12,0.44,0.86,,175.11,310.42,28.64,41.71,496.34
Trindade,PE,57.40,295.76,32257.00,20281.21,72.49,63.68,36.04,71.38,71.75,85.78,61.04,78.11,70.23,51.67,54.73,17.31,47.75,54.20,24.92,89.79,1090.25,175.01,22.44,4.04,64.76,33.55,94.86,22.24,65.24,91.73,71.28,97.53,31.19,4.98,22.25,22.30,0.34,1.14,19.16,8.86,4.83,3.76,91.27,24.33,44.44,94.50,76.02,71.05,277.60,475.12,17.04,12.66,4.03,5.58,32.45,2.71,53.64,1.00,0.00,525.23,1902.97,60.07,86.99,4.00,20.73,0.38,0.31,1.02,0.31,0.97,52.63,283.41,164.19,27.27,39.75,506.32
Santa Cruz da Baixa Verde,PE,57.38,114.93,11934.00,12043.15,65.31,64.83,41.99,80.01,25.21,90.76,65.27,79.84,66.33,57.51,55.62,24.30,49.29,68.37,26.01,94.61,898.16,131.35,13.90,3.08,5.02,45.26,1.48,22.16,54.31,94.66,96.56,97.30,7.10,6.57,11.70,10.02,0.48,1.24,15.78,7.42,5.10,3.82,89.16,5.07,43.22,95.93,84.13,72.14,245.29,400.07,19.15,5.02,3.39,2.51,29.57,2.70,53.88,5.00,0.00,961.05,2092.81,50.02,63.53,4.00,16.84,1.20,0.28,1.65,0.67,0.75,,111.73,75.76,28.38,42.80,509.34
Calçado,PE,57.33,121.44,11453.00,11728.89,69.32,64.26,38.41,80.74,41.35,90.43,64.74,75.63,62.55,59.69,59.20,18.22,49.29,57.29,28.81,91.52,712.72,121.30,11.39,3.18,26.48,40.61,37.85,28.75,47.21,95.67,94.36,99.55,35.63,3.49,26.15,13.95,0.12,1.60,24.40,8.50,4.27,5.28,86.59,3.80,33.01,93.65,72.67,68.84,195.33,307.54,19.91,5.24,1.97,0.00,13.44,2.11,53.23,2.00,0.00,685.29,2621.92,63.14,109.29,2.00,17.51,0.76,0.29,0.00,0.22,0.34,,149.92,144.67,46.37,55.01,462.92
Ipojuca,PE,57.30,521.80,106539.00,168692.43,61.54,67.22,43.14,64.04,54.97,85.12,42.04,77.61,80.71,54.25,56.32,23.50,52.01,49.20,47.85,73.18,796.29,203.73,12.19,6.73,46.49,53.64,65.74,45.87,81.86,69.16,84.08,97.85,88.30,3.91,36.39,14.31,0.28,0.32,21.36,7.76,4.20,2.96,96.56,34.63,75.44,96.90,67.09,71.44,257.85,479.08,22.72,3.33,11.56,0.84,8.54,1.27,49.78,4.00,0.00,630.86,1452.46,63.88,109.11,4.00,18.52,1.65,0.28,1.45,0.00,0.90,91.60,379.61,97.94,86.91,84.88,512.27
Xexéu,PE,57.24,110.81,11699.00,17209.16,65.87,57.80,48.04,64.97,79.24,91.66,27.62,73.73,63.37,37.41,56.68,35.02,47.73,75.94,33.45,69.09,909.85,271.44,18.59,3.97,80.84,91.15,64.15,10.22,80.73,92.66,88.67,96.59,130.12,0.00,67.58,18.20,0.68,0.76,24.18,13.98,4.32,2.08,77.66,6.06,38.36,98.07,50.91,67.15,441.56,766.99,23.10,3.26,5.64,3.42,12.53,1.03,51.48,4.00,4.00,424.88,868.99,42.88,118.48,2.00,20.58,0.60,0.31,0.44,0.44,0.42,,42.84,0.00,48.83,69.41,478.46
Brejinho,PE,57.23,106.07,8033.00,11911.24,72.69,59.20,39.81,75.36,63.65,88.58,63.15,80.21,61.76,40.62,54.20,31.12,49.30,56.59,22.25,98.21,529.71,205.34,22.22,2.61,49.35,49.48,69.21,10.61,20.04,98.32,99.13,99.47,10.95,5.01,12.59,27.59,0.18,3.52,15.60,9.08,5.70,1.72,76.19,0.00,37.36,98.35,82.89,65.84,298.74,550.89,24.43,5.03,2.88,4.98,37.92,0.88,52.33,7.00,0.00,700.03,884.11,53.23,110.23,3.00,15.62,0.80,0.30,4.76,0.22,0.85,,340.99,385.67,23.23,38.79,486.74
Lagoa dos Gatos,PE,57.21,224.95,14333.00,11779.18,64.86,61.01,45.75,75.86,60.95,88.65,33.97,77.86,68.42,46.05,51.73,30.38,52.06,78.71,21.83,80.60,529.10,162.40,14.84,2.85,61.60,69.41,67.89,56.47,65.47,96.19,87.33,92.35,114.88,10.87,49.33,2.71,1.04,0.48,18.28,7.54,4.53,3.72,88.64,23.41,35.68,96.83,73.82,68.49,276.30,520.97,25.03,6.78,3.47,2.09,35.50,4.77,63.15,7.00,0.00,339.85,1791.20,67.47,112.20,2.00,14.91,0.25,0.31,1.53,0.22,0.93,,35.02,0.00,24.83,30.39,497.67
Chã Grande,PE,57.19,84.79,21258.00,15294.43,67.48,66.38,37.72,75.12,61.59,79.57,53.62,75.59,73.91,56.11,59.92,24.35,49.72,50.34,26.48,79.13,897.11,184.70,9.43,3.02,55.92,62.31,65.86,35.91,50.36,78.04,70.72,96.11,54.18,3.75,30.18,7.55,2.44,1.28,20.76,4.32,3.71,2.98,93.94,36.08,49.27,93.96,75.67,73.18,246.02,473.35,22.56,4.72,1.33,0.94,13.20,1.00,51.75,5.00,0.00,805.94,1554.19,64.51,79.09,5.00,15.15,0.60,0.30,0.33,0.73,0.31,111.11,463.47,138.07,29.01,42.65,513.80
Ipubi,PE,57.19,693.91,30720.00,13428.87,65.84,62.17,43.56,70.85,50.21,81.89,60.40,79.47,65.52,52.21,51.47,24.52,46.06,80.54,23.13,98.15,902.94,119.69,17.75,7.44,32.44,40.17,54.44,19.52,53.84,77.53,79.03,96.38,20.22,5.30,25.16,31.01,0.80,0.30,14.44,7.42,4.53,2.06,79.07,7.83,51.56,94.53,53.24,67.72,287.45,394.34,15.67,11.90,5.28,10.74,43.95,2.49,54.68,5.00,0.00,751.76,2024.29,63.86,109.57,2.00,20.42,0.94,0.31,1.23,0.73,0.58,,43.35,0.00,22.86,32.52,514.32
Pesqueira,PE,57.08,970.44,65481.00,16526.08,67.28,61.22,42.74,68.76,61.33,90.56,48.46,75.37,68.91,49.20,51.38,38.54,48.96,54.19,29.27,71.01,1266.75,156.27,15.00,4.87,51.93,66.61,67.24,35.81,65.02,96.04,88.71,96.80,62.80,6.55,33.00,22.92,0.84,2.12,25.96,7.42,4.48,5.30,79.88,31.89,42.63,95.95,80.53,70.04,296.06,460.42,21.94,6.72,3.26,5.96,31.59,1.37,60.08,3.00,6.00,263.84,378.34,51.11,92.50,9.00,18.96,1.07,0.28,3.17,0.27,0.42,10.90,288.27,41.04,34.23,45.79,526.19
Inajá,PE,57.06,1240.96,27758.00,9950.43,63.53,58.29,49.37,77.43,50.03,66.76,59.89,73.18,51.77,59.55,48.64,66.92,42.87,61.42,26.26,84.88,506.35,125.84,15.73,3.42,33.58,24.72,73.24,38.16,32.37,84.53,60.88,70.08,38.43,5.98,36.31,10.46,0.38,2.36,34.08,8.86,4.23,4.80,48.99,9.20,23.86,92.52,45.03,67.66,197.48,321.60,22.01,4.56,4.94,1.80,27.20,1.32,65.29,13.00,12.00,558.03,862.66,56.69,89.61,3.00,23.92,0.57,0.35,0.00,0.73,0.40,2.10,115.06,212.28,37.13,46.41,478.58
Serrita,PE,57.02,1535.19,18764.00,10444.95,71.99,60.13,38.96,76.69,57.46,85.44,68.35,81.56,57.04,55.91,46.01,17.54,50.88,58.85,28.55,93.26,1151.48,97.02,16.60,4.85,43.49,46.83,58.47,13.35,42.23,93.03,81.47,97.67,8.76,2.15,9.58,3.19,0.60,0.04,19.44,3.72,4.60,0.54,49.67,25.69,29.25,95.06,72.85,70.62,246.80,374.55,18.21,11.70,10.92,44.77,40.73,0.53,56.15,2.00,0.00,1047.16,2445.92,56.48,85.19,3.00,15.04,0.28,0.30,1.69,0.00,0.83,,152.26,159.11,34.26,51.22,503.55
Passira,PE,57.01,327.21,29744.00,9867.54,69.86,62.62,38.55,78.63,46.33,87.41,67.07,81.36,62.46,52.23,54.43,32.31,51.80,53.76,16.32,87.63,697.72,140.98,14.05,2.86,40.60,1.93,59.97,31.38,63.03,89.51,80.50,98.60,20.48,1.31,15.44,14.11,0.10,0.44,16.98,5.46,4.86,2.48,80.05,6.39,33.52,96.43,81.91,70.78,247.45,430.66,26.84,4.70,2.41,1.01,57.74,4.32,52.15,8.00,0.00,367.72,1736.31,65.58,103.98,4.00,14.50,0.35,0.29,0.00,0.55,0.90,1142.86,186.56,75.24,12.77,15.21,500.54
Jupi,PE,56.96,104.83,16022.00,15425.66,59.08,66.38,45.42,75.94,29.21,92.70,38.46,80.25,80.02,49.83,55.41,15.95,52.89,81.53,31.30,99.64,1237.49,214.58,12.25,3.27,5.59,55.38,15.10,31.03,66.73,96.69,91.54,99.70,79.20,5.02,31.94,26.81,0.00,0.08,16.64,9.18,5.18,3.20,97.88,38.07,71.21,94.62,33.45,66.88,286.64,497.07,20.84,5.09,3.38,0.00,11.90,0.56,56.84,1.00,0.00,677.80,2392.63,66.72,98.52,2.00,14.67,0.90,0.30,0.00,0.36,0.70,,12.53,0.00,45.03,54.65,498.83
São Lourenço da Mata,PE,56.96,263.69,118258.00,15145.35,62.45,67.41,41.01,66.46,61.58,82.70,39.05,76.73,76.03,52.83,64.06,34.51,53.55,53.74,22.22,60.77,963.35,186.66,15.61,4.19,68.15,43.89,81.02,64.32,71.99,70.97,77.38,97.68,115.82,3.95,50.09,7.55,0.98,0.76,22.08,5.46,4.13,5.50,99.36,28.10,55.13,96.90,80.65,72.57,263.78,483.73,24.89,4.47,0.99,0.17,6.36,4.80,51.64,4.00,5.00,519.15,1254.41,54.80,90.71,4.00,13.35,1.47,0.28,11.83,0.40,0.87,58.25,469.38,52.02,21.96,28.78,514.81
Amaraji,PE,56.90,233.24,18335.00,16787.13,69.15,61.93,39.63,74.47,67.67,83.11,51.37,77.47,68.46,45.77,56.00,18.04,47.10,71.53,21.87,84.34,1145.54,199.94,9.94,3.21,65.82,70.59,73.24,39.58,70.12,79.19,78.61,93.02,73.36,4.08,40.50,14.61,0.54,0.00,23.58,6.56,3.70,0.26,87.61,20.83,43.90,94.30,70.48,69.89,302.42,480.19,24.69,14.82,2.66,0.55,20.04,0.98,54.90,2.00,0.00,618.07,2191.55,71.76,103.56,4.00,22.00,0.51,0.29,0.31,0.44,0.87,,30.82,66.36,23.37,27.17,510.39
Sertânia,PE,56.84,2409.51,34271.00,11790.35,68.38,62.84,39.29,72.11,49.06,87.65,64.73,79.32,63.49,54.42,54.14,27.20,48.27,56.20,25.47,86.42,1350.27,133.78,24.78,3.96,43.70,49.02,61.87,60.78,54.02,94.16,82.62,97.90,20.35,2.27,17.38,27.28,0.34,0.60,22.86,5.24,4.68,3.74,60.07,25.72,45.26,96.53,67.14,70.14,227.92,376.14,27.55,7.55,7.30,0.58,22.71,2.31,54.43,5.00,0.00,363.11,1491.61,60.62,122.52,5.00,17.57,0.22,0.29,2.92,0.15,0.93,39.22,218.27,45.07,27.69,38.28,515.77
